language,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
I364,s4246375,+,-,-,-,-,-,-,+,+,-,-,+,-,+,+,-,+,+,-,-,+,+,+
I364,s321900,-,-,-,-,+,-,-,+,+,+,-,+,-,-,+,-,+,+,-,+,+,-,-
I364,s7692679,+,+,+,-,+,-,+,-,+,+,-,-,-,-,+,+,-,-,-,-,+,+,+
I364,s4205010,+,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,-
I364,s5472478,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,+,+,+,-
I364,s2197644,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,+,-,-,-,+,+,-,-
I364,s3571025,-,+,+,-,+,+,-,-,+,+,+,+,+,-,+,-,+,-,+,-,-,-,+
I364,s6907367,+,+,-,+,-,-,+,-,+,+,-,-,+,-,+,+,+,+,-,-,+,+,+
I364,s4325716,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,-,+,-,-
I364,s774034,-,-,-,+,-,+,+,+,+,-,-,+,+,+,+,+,-,-,+,-,-,+,-
I364,s6309338,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,+,+,-,+,+,-,+,-
I364,s8043229,+,+,+,+,-,+,-,+,-,+,+,+,-,+,-,+,+,-,+,+,+,-,+
I364,s4013935,-,+,+,+,+,-,+,-,-,+,+,+,+,+,+,-,+,+,-,+,+,+,+
I364,s7660731,+,+,+,-,+,-,-,+,+,+,-,-,+,-,-,+,-,+,+,+,-,+,+
I364,s6361831,+,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,+,-,-,+,+,+
I364,s1054004,-,-,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-,+,+,-,+,-,-
I364,s214989,-,-,-,-,-,+,+,-,+,-,-,-,+,+,+,+,+,-,-,+,+,-,+
I364,s3474995,-,+,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,+,+,-,-,+,+
I364,s7782369,+,+,+,-,+,+,-,+,-,+,+,+,+,+,+,+,+,+,-,-,-,-,+
I364,s569041,-,-,-,+,-,-,-,+,-,+,-,+,+,+,-,+,+,-,+,-,-,-,+
I364,s1467539,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,+,-,-,+,-,-,+,+
I364,s5211461,+,-,-,+,+,+,+,+,-,-,-,-,+,-,+,-,+,-,-,-,+,-,+
I365,s193762,-,-,-,-,-,+,-,+,+,+,+,-,+,-,-,+,+,+,-,-,-,+,-
I365,s5220619,+,-,-,+,+,+,+,+,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+
I365,s3850588,-,+,+,+,-,+,-,+,+,-,-,-,-,-,+,-,+,-,+,+,+,-,-
I365,s7768273,+,+,+,-,+,+,-,+,-,-,-,+,-,-,-,+,+,-,+,-,-,-,+
I365,s3389293,-,+,+,-,-,+,+,+,-,+,+,-,+,+,+,-,+,+,-,+,+,-,+
I365,s2269908,-,+,-,-,-,+,-,+,-,+,-,-,-,+,-,+,+,-,+,-,+,-,-
I365,s5852746,+,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,+,-,+,-
I365,s7671042,+,+,+,-,+,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-
I365,s2360826,-,+,-,-,+,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,-,+,-
I365,s2963642,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,-,+,-
I365,s5482145,+,-,+,-,-,+,+,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,+
I365,s6678851,+,+,-,-,+,-,+,+,+,+,-,+,-,-,+,-,+,-,-,-,-,+,+
I365,s1370918,-,-,+,-,+,-,-,+,+,+,-,+,-,+,+,-,-,+,-,-,+,+,-
I365,s483561,-,-,-,-,+,+,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,+
I365,s3243017,-,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,-,-,+,-,-,+
I365,s3766464,-,+,+,+,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-
I365,s8187576,+,+,+,+,+,-,-,+,+,+,-,+,+,+,-,+,-,+,+,+,-,-,-
I365,s4646170,+,-,-,-,+,+,-,+,+,+,-,-,+,-,+,-,-,-,+,+,-,+,-
I365,s2974553,-,+,-,+,+,-,+,-,+,+,-,-,-,+,+,-,+,-,+,+,-,-,+
I365,s6852564,+,+,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+,-,+,-,+,-,-
I365,s565331,-,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,+
I365,s2089505,-,-,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,-,-,-,-,+
I365,s279212,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,+,-,+,-,+,+,-,-
I365,s6011042,+,-,+,+,-,+,+,+,-,+,+,+,-,-,-,+,-,+,-,-,-,+,-
I366,s6348053,+,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,+,-,+,-,+
I366,s4936311,+,-,-,+,-,+,+,-,+,-,+,-,-,+,-,-,+,+,+,-,+,+,+
I366,s1090467,-,-,+,-,-,-,-,+,-,+,-,-,-,+,+,+,-,+,-,-,-,+,+
I366,s1667710,-,-,+,+,-,-,+,-,+,+,+,-,-,+,-,-,+,+,+,+,+,+,-
I366,s7146814,+,+,-,+,+,-,+,-,-,-,-,+,+,-,+,-,-,+,+,+,+,+,-
I366,s6979558,+,+,-,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-
I366,s4420409,+,-,-,-,-,+,+,-,+,+,+,-,-,+,+,-,-,+,+,+,-,-,+
I366,s6136574,+,-,+,+,+,-,+,+,-,+,-,-,-,+,-,+,+,+,+,+,+,+,-
I366,s693350,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-
I366,s1913250,-,-,+,+,+,-,+,-,-,+,+,-,-,-,+,+,-,+,-,-,-,+,-
I366,s1535715,-,-,+,-,+,+,+,-,+,+,-,+,+,+,-,+,+,+,-,-,-,+,+
I366,s7497798,+,+,+,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,+,+,-
I366,s7673606,+,+,+,-,+,-,+,-,-,-,+,-,+,+,+,-,-,-,-,-,+,+,-
I366,s7216619,+,+,-,+,+,+,-,-,-,-,+,+,+,-,+,+,+,+,-,+,-,+,+
I366,s2239368,-,+,-,-,-,+,-,-,-,+,-,+,-,+,+,+,-,-,-,+,-,-,-
I366,s3144096,-,+,-,+,+,+,+,+,+,+,+,+,-,-,+,+,-,+,-,-,-,-,-
I366,s7981605,+,+,+,+,-,-,+,+,+,-,-,+,-,+,-,-,-,+,-,-,+,-,+
I366,s1150803,-,-,+,-,-,-,+,+,-,-,-,+,+,+,+,-,+,-,+,-,-,+,+
I366,s3382484,-,+,+,-,-,+,+,+,-,-,+,+,+,-,-,+,+,-,+,-,+,-,-
I366,s21442,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,-,-,-,+,-
I366,s3367243,-,+,+,-,-,+,+,-,+,+,-,-,-,-,+,-,+,-,-,+,-,+,+
I366,s5928706,+,-,+,+,-,+,-,-,+,+,+,-,+,+,+,-,-,-,-,-,-,+,-
I366,s437394,-,-,-,-,+,+,-,+,-,+,-,+,+,-,-,+,-,-,+,-,-,+,-
I366,s5444694,+,-,+,-,-,+,+,-,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-
I367,s7764957,+,+,+,-,+,+,-,-,+,+,+,+,-,+,+,+,+,-,+,+,+,-,+
I367,s3095183,-,+,-,+,+,+,+,-,-,+,+,+,-,+,-,+,-,-,-,+,+,+,+
I367,s7926419,+,+,+,+,-,-,-,+,+,+,+,-,-,+,-,+,-,-,+,-,-,+,+
I367,s8195720,+,+,+,+,+,-,+,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-
I367,s6166593,+,-,+,+,+,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,+
I367,s2923568,-,+,-,+,+,-,-,+,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-
I367,s7616056,+,+,+,-,+,-,-,-,-,+,+,-,+,+,-,-,-,+,+,+,-,-,-
I367,s3392367,-,+,+,-,-,+,+,+,+,-,-,-,-,+,+,-,+,+,-,+,+,+,+
I367,s8065033,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+
I367,s5810431,+,-,+,+,-,-,-,+,-,+,-,+,-,-,-,+,+,+,+,+,+,+,+
I367,s4702214,+,-,-,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-
I367,s2808314,-,+,-,+,-,+,-,+,+,-,+,+,-,-,+,+,+,+,+,+,-,+,-
I367,s6524806,+,+,-,-,-,+,+,+,-,-,-,+,+,+,+,+,-,-,-,-,+,+,-
I367,s3132363,-,+,-,+,+,+,+,+,+,-,-,+,-,+,+,+,+,-,-,+,-,+,+
I367,s3722539,-,+,+,+,-,-,-,+,+,-,-,+,+,-,+,-,-,+,-,+,-,+,+
I367,s4434124,+,-,-,-,-,+,+,+,-,+,-,+,-,-,-,+,+,-,-,+,+,-,-
I367,s1026105,-,-,-,+,+,+,+,+,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+
I367,s7085324,+,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,+,-,-
I367,s6364673,+,+,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+
I367,s6372811,+,+,-,-,-,-,+,-,-,+,+,+,+,-,+,+,+,-,-,+,-,+,+
I367,s4078925,-,+,+,+,+,+,-,-,-,+,+,+,+,-,+,-,+,-,-,+,+,-,+
I367,s5413397,+,-,+,-,-,+,-,+,-,-,+,+,-,+,-,-,-,-,+,-,+,-,+
I367,s3445004,-,+,+,-,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-
I367,s4717598,+,-,-,-,+,+,+,+,+,+,+,+,+,-,-,-,-,-,+,+,+,+,-
I367,s4137984,-,+,+,+,+,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-
I368,s6668594,+,+,-,-,+,-,+,+,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-
I368,s1063730,-,-,+,-,-,-,-,-,-,+,+,+,-,+,+,-,-,+,+,-,-,+,-
I368,s7298763,+,+,-,+,+,+,+,-,+,-,+,+,+,+,-,+,+,-,-,+,-,+,+
I368,s1395054,-,-,+,-,+,-,+,-,+,-,-,+,-,-,+,-,+,+,-,+,+,+,-
I368,s3489073,-,+,+,-,+,-,+,-,-,+,+,+,+,-,+,-,-,+,+,-,-,-,+
I368,s8001166,+,+,+,+,-,+,-,-,-,-,+,-,+,+,-,+,-,-,-,+,+,+,-
I368,s2975061,-,+,-,+,+,-,+,-,+,+,-,-,+,-,+,-,+,-,+,-,+,-,+
I368,s627019,-,-,-,+,-,-,+,+,-,-,+,-,-,-,+,-,+,-,-,+,-,+,+
I368,s4340653,+,-,-,-,-,+,-,-,-,+,+,+,-,+,+,+,-,+,-,+,+,-,+
I368,s6626272,+,+,-,-,+,-,+,-,-,-,+,+,-,+,+,+,+,+,-,-,-,-,-
I368,s5732833,+,-,+,-,+,+,+,-,+,+,+,+,-,-,+,+,+,+,-,-,-,-,+
I368,s5268055,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,+,+,+
I368,s5551382,+,-,+,-,+,-,-,+,-,+,+,-,+,-,+,-,-,-,+,-,+,+,-
I368,s356960,-,-,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,+,-,-,-,-,-
I368,s3023095,-,+,-,+,+,+,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,+,+
I368,s3320839,-,+,+,-,-,+,-,+,-,+,-,+,+,-,-,-,-,-,-,-,+,+,+
I368,s3606446,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,+,+,-
I368,s8325713,+,+,+,+,+,+,+,-,-,-,-,+,-,+,-,-,+,-,+,-,-,-,+
I368,s544479,-,-,-,+,-,-,-,-,+,-,-,+,+,+,-,+,+,-,+,+,+,+,+
I368,s2536575,-,+,-,-,+,+,-,+,-,+,+,-,+,-,-,-,+,+,+,+,+,+,+
I368,s935170,-,-,-,+,+,+,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-
I368,s7187626,+,+,-,+,+,-,+,+,-,+,-,+,+,-,-,+,-,+,-,+,-,+,-
I368,s8176222,+,+,+,+,+,-,-,+,+,-,-,-,-,+,-,-,+,-,+,+,+,+,-
I368,s422369,-,-,-,-,+,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,+
I368,s229120,-,-,-,-,-,+,+,-,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-
I369,s3895456,-,+,+,+,-,+,+,-,+,+,+,-,-,-,-,+,-,+,-,-,-,-,-
I369,s5298485,+,-,+,-,-,-,-,+,+,-,+,+,-,-,+,-,-,+,+,-,+,-,+
I369,s5994301,+,-,+,+,-,+,+,-,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+
I369,s3580819,-,+,+,-,+,+,-,+,-,+,-,-,-,+,+,+,-,-,+,-,-,+,+
I369,s963603,-,-,-,+,+,+,-,+,-,+,+,-,+,-,-,-,-,-,+,-,-,+,+
I369,s6159941,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,+
I369,s5249150,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,+,+,+,-
I369,s5294496,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-
I369,s6607504,+,+,-,-,+,-,-,+,+,-,+,-,-,+,-,+,-,-,+,-,-,-,-
I369,s2623631,-,+,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,+,+
I369,s4939772,+,-,-,+,-,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-
I369,s160917,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,+,-,-,+,-,+,-,+
I369,s6183519,+,-,+,+,+,+,-,-,+,-,+,+,-,+,-,-,+,-,+,+,+,+,+
I369,s7911694,+,+,+,+,-,-,-,+,-,+,+,+,-,-,+,-,-,-,-,+,+,+,-
I369,s7808617,+,+,+,-,+,+,+,-,-,+,-,-,+,+,-,-,+,+,-,+,-,-,+
I369,s5007583,+,-,-,+,+,-,-,-,+,+,-,+,-,-,-,+,+,-,+,+,+,+,+
I369,s1039004,-,-,-,+,+,+,+,+,+,-,+,+,-,+,-,+,-,-,+,+,+,-,-
I369,s2094606,-,-,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,+,+,+,-
I369,s6864055,+,+,-,+,-,-,-,+,-,+,+,+,+,-,-,+,-,+,+,-,+,+,+
I369,s1873411,-,-,+,+,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,+,+
I369,s4273505,+,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,+,-,-,-,-,+
I369,s4303354,+,-,-,-,-,-,+,+,-,+,-,+,-,-,+,+,+,+,+,+,-,+,-
I369,s5460049,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,+
I369,s5769720,+,-,+,+,-,-,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-
I369,s1440122,-,-,+,-,+,-,+,+,+,+,+,+,-,-,+,-,+,+,+,+,-,+,-
I370,s7195754,+,+,-,+,+,-,+,+,+,-,-,+,+,-,-,-,+,+,-,+,-,+,-
I370,s2637888,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-
I370,s1027790,-,-,-,+,+,+,+,+,-,+,-,+,+,+,-,+,+,-,-,+,+,+,-
I370,s6060893,+,-,+,+,+,-,-,-,+,+,+,+,-,+,+,-,+,-,+,+,+,-,+
I370,s1605427,-,-,+,+,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,+,+
I370,s7061630,+,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,+,+,-
I370,s6487834,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,-,-,-,+,+,-,+,-
I370,s7712744,+,+,+,-,+,-,+,+,-,+,-,+,+,+,+,+,+,+,-,+,-,-,-
I370,s4187489,-,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,+,+,-,-,-,-,+
I370,s3862443,-,+,+,+,-,+,-,+,+,+,-,+,+,+,+,+,-,+,-,+,-,+,+
I370,s7979425,+,+,+,+,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-,-,+
I370,s465532,-,-,-,-,+,+,+,-,-,-,+,+,-,+,-,-,+,+,+,+,+,-,-
I370,s7834239,+,+,+,-,+,+,+,+,-,-,-,+,-,+,-,-,+,+,+,+,+,+,+
I370,s3720825,-,+,+,+,-,-,-,+,+,-,-,-,+,+,-,-,+,+,+,+,-,-,+
I370,s1613114,-,-,+,+,-,-,-,+,-,-,+,+,+,-,+,-,-,+,+,+,-,+,-
I370,s4912753,+,-,-,+,-,+,-,+,+,+,+,-,+,+,-,-,+,+,+,-,-,-,+
I370,s2214660,-,+,-,-,-,-,+,+,+,-,-,+,-,+,+,-,-,-,-,-,+,-,-
I370,s4278181,+,-,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,+,-,-,+,-,+
I370,s617431,-,-,-,+,-,-,+,-,+,+,-,+,-,+,+,+,+,-,+,-,+,+,+
I370,s656783,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,+,+,+,+
I370,s3544340,-,+,+,-,+,+,-,-,-,-,+,-,+,-,+,-,-,-,+,-,+,-,-
I370,s3030357,-,+,-,+,+,+,-,-,-,+,+,+,+,-,+,-,+,-,+,-,+,-,+
I370,s5705334,+,-,+,-,+,+,+,-,-,-,-,+,+,+,-,-,+,+,+,-,+,+,-
I370,s1517521,-,-,+,-,+,+,+,-,-,+,-,-,+,+,+,+,+,-,+,-,-,-,+
I370,s1524051,-,-,+,-,+,+,+,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,+
I371,s1361942,-,-,+,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,+,-,+,+,-
I371,s5188269,+,-,-,+,+,+,+,-,-,+,-,+,-,+,-,+,-,+,-,+,+,-,+
I371,s6411333,+,+,-,-,-,-,+,+,+,-,+,-,+,-,-,-,+,-,-,-,+,-,+
I371,s2526837,-,+,-,-,+,+,-,+,-,-,-,+,+,+,-,-,+,+,+,-,+,-,+
I371,s356867,-,-,-,-,+,-,+,-,+,+,+,-,-,+,-,-,-,-,-,-,-,+,+
I371,s2551641,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,-,+,-,+,+,-,-,+
I371,s4097768,-,+,+,+,+,+,-,+,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-
I371,s4658550,+,-,-,-,+,+,+,-,-,-,+,-,+,-,+,-,+,+,+,-,+,+,-
I371,s806464,-,-,-,+,+,-,-,-,+,-,-,+,+,+,-,-,+,-,-,-,-,-,-
I371,s5862117,+,-,+,+,-,-,+,-,+,+,+,-,-,+,-,+,+,+,-,-,+,-,+
I371,s2218057,-,+,-,-,-,-,+,+,+,-,+,+,-,-,-,-,+,-,-,+,-,-,+
I371,s7568297,+,+,+,-,-,+,+,-,+,+,+,+,-,+,+,+,-,+,-,+,-,-,+
I371,s834596,-,-,-,+,+,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,-,-
I371,s5054946,+,-,-,+,+,-,+,-,-,+,-,-,-,-,+,+,+,+,-,-,-,+,-
I371,s7439287,+,+,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+
I371,s1379715,-,-,+,-,+,-,+,-,-,-,-,+,+,-,+,+,-,-,-,-,-,+,+
I371,s1909444,-,-,+,+,+,-,+,-,-,+,-,-,-,+,-,+,+,-,-,-,+,-,-
I371,s7387614,+,+,+,-,-,-,-,+,-,+,+,+,-,-,+,+,+,-,+,+,+,+,-
I371,s143809,-,-,-,-,-,+,-,-,-,+,+,-,-,-,+,+,+,-,-,-,-,-,+
I371,s3061968,-,+,-,+,+,+,-,+,-,+,+,+,-,-,-,+,+,-,+,-,-,-,-
I371,s2691278,-,+,-,+,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-,+,+,+,-
I371,s5891091,+,-,+,+,-,-,+,+,+,+,-,-,+,-,-,-,-,-,+,-,-,+,+
I371,s1763996,-,-,+,+,-,+,-,+,+,+,-,+,-,+,-,+,-,-,+,+,+,-,-
I371,s3314869,-,+,+,-,-,+,-,+,-,-,+,-,+,-,-,+,-,+,+,-,+,-,+
I371,s1962369,-,-,+,+,+,-,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+
I372,s7135410,+,+,-,+,+,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,-,+,-
I372,s2066869,-,-,+,+,+,+,+,+,-,-,-,+,-,-,+,+,-,+,+,-,+,-,+
I372,s5842543,+,-,+,+,-,-,+,-,-,+,-,-,+,+,-,-,+,+,-,+,+,+,+
I372,s7526580,+,+,+,-,-,+,-,+,+,-,+,+,-,-,-,+,-,+,+,-,+,-,-
I372,s6201199,+,-,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,+
I372,s3131737,-,+,-,+,+,+,+,+,+,-,-,+,-,-,+,-,+,-,+,+,-,-,+
I372,s2398322,-,+,-,-,+,-,-,+,-,-,+,+,-,-,-,-,+,+,+,-,-,+,-
I372,s7825372,+,+,+,-,+,+,+,-,+,+,-,-,+,+,+,+,+,-,+,+,+,-,-
I372,s6678710,+,+,-,-,+,-,+,+,+,+,-,+,-,-,-,+,-,+,+,-,+,+,-
I372,s2890486,-,+,-,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,+,-,+,+,-
I372,s7462532,+,+,+,-,-,-,+,+,+,-,+,+,+,+,-,+,-,-,-,-,+,-,-
I372,s3185085,-,+,+,-,-,-,-,+,-,-,+,+,-,-,+,+,-,+,+,+,+,-,+
I372,s4702,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,+,+,+,-
I372,s109881,-,-,-,-,-,-,+,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,+
I372,s8202745,+,+,+,+,+,-,+,-,-,+,-,+,-,-,+,+,+,+,+,+,-,-,+
I372,s7663099,+,+,+,-,+,-,-,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,+
I372,s7892266,+,+,+,+,-,-,-,-,+,+,-,+,+,-,+,-,-,+,-,+,-,+,-
I372,s2147677,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,-,+,-,+,+,+,-,+
I372,s5882637,+,-,+,+,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,+
I372,s674472,-,-,-,+,-,+,-,-,+,-,-,+,-,+,-,+,-,+,-,+,-,-,-
I372,s4141204,-,+,+,+,+,+,+,-,-,+,+,-,-,-,-,+,-,-,+,-,+,-,-
I372,s1840010,-,-,+,+,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,-
I372,s7027112,+,+,-,+,-,+,+,-,-,+,+,+,-,-,+,+,-,+,-,+,-,-,-
I372,s6631402,+,+,-,-,+,-,+,-,-,+,-,+,+,+,+,+,+,+,-,+,-,+,-
I372,s2620100,-,+,-,-,+,+,+,+,+,+,+,+,-,+,-,+,+,-,-,-,+,-,-
I373,s569528,-,-,-,+,-,-,-,+,-,+,+,-,-,-,-,+,-,+,+,+,-,-,-
I373,s7147556,+,+,-,+,+,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-
I373,s4122689,-,+,+,+,+,+,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+
I373,s6139887,+,-,+,+,+,-,+,+,-,+,-,+,+,+,+,+,+,+,-,+,+,+,+
I373,s3313392,-,+,+,-,-,+,-,+,-,-,-,+,+,+,-,+,+,+,+,-,-,-,-
I373,s4814750,+,-,-,+,-,-,+,-,+,+,+,-,+,+,+,+,-,-,+,+,+,+,-
I373,s2266785,-,+,-,-,-,+,-,+,-,-,+,-,+,+,-,+,-,+,-,-,-,-,+
I373,s464829,-,-,-,-,+,+,+,-,-,-,+,-,+,+,+,+,-,+,+,+,+,-,+
I373,s7847401,+,+,+,-,+,+,+,+,-,+,+,+,+,-,+,+,+,+,-,+,-,-,+
I373,s7055304,+,+,-,+,-,+,+,+,-,+,-,-,+,+,+,+,+,-,-,+,-,-,-
I373,s8214242,+,+,+,+,+,-,+,-,+,-,+,-,+,+,-,+,+,+,-,-,-,+,-
I373,s6409578,+,+,-,-,-,-,+,+,+,-,-,+,+,-,+,-,+,+,-,+,-,+,-
I373,s6610117,+,+,-,-,+,-,-,+,+,-,+,+,+,-,-,+,+,-,-,-,+,-,+
I373,s7290061,+,+,-,+,+,+,+,-,-,+,+,+,+,-,-,+,+,-,-,+,+,-,+
I373,s6009923,+,-,+,+,-,+,+,+,-,+,+,-,+,-,-,-,+,-,-,-,-,+,+
I373,s7253134,+,+,-,+,+,+,-,+,-,+,-,+,+,-,-,+,-,-,-,+,+,+,-
I373,s572497,-,-,-,+,-,-,-,+,-,+,+,+,+,-,-,-,+,-,+,-,-,-,+
I373,s6694966,+,+,-,-,+,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-,+,+,-
I373,s4367249,+,-,-,-,-,+,-,+,-,+,-,-,-,+,+,+,-,-,+,-,-,-,+
I373,s4968921,+,-,-,+,-,+,+,+,+,-,+,-,-,-,+,+,+,-,+,+,-,-,+
I373,s1472906,-,-,+,-,+,+,-,-,+,+,+,+,-,-,+,+,-,-,-,+,-,+,-
I373,s5762207,+,-,+,-,+,+,+,+,+,+,-,+,+,-,-,+,-,-,+,+,+,+,+
I373,s4340167,+,-,-,-,-,+,-,-,-,+,+,+,-,-,+,+,+,-,-,-,+,+,+
I373,s3452895,-,+,+,-,+,-,-,+,-,+,-,+,+,+,+,+,+,-,+,+,+,+,+
I373,s2523337,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+
I374,s7397967,+,+,+,-,-,-,-,+,+,+,-,-,-,+,-,-,+,-,-,+,+,+,+
I374,s2285057,-,+,-,-,-,+,-,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+
I374,s5302488,+,-,+,-,-,-,-,+,+,+,-,+,-,-,-,+,+,-,+,+,-,-,-
I374,s7257776,+,+,-,+,+,+,-,+,-,+,+,+,+,+,-,+,-,+,+,-,-,-,-
I374,s6260141,+,-,+,+,+,+,+,+,-,-,-,-,+,-,+,+,-,+,-,+,+,-,+
I374,s4865113,+,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,+
I374,s517729,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,+,+,-,-,-,-,+
I374,s5409354,+,-,+,-,-,+,-,+,-,-,-,+,-,+,-,-,+,-,-,+,-,+,-
I374,s7976633,+,+,+,+,-,-,+,+,-,+,+,-,+,+,-,+,-,+,+,+,-,-,+
I374,s4738289,+,-,-,+,-,-,-,-,+,-,-,+,+,-,-,+,+,+,+,-,-,-,+
I374,s2580246,-,+,-,-,+,+,+,-,+,-,+,+,+,+,+,-,-,-,+,-,+,+,-
I374,s6122499,+,-,+,+,+,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-,-,+,+
I374,s5537033,+,-,+,-,+,-,-,-,+,+,+,+,+,-,+,-,-,-,-,+,-,-,+
