"SEGMENT","ALTERNATE_NAMES","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"S2","I200","+","+","+","-","-","-","+","+","-","+","+","-","+","-","-","-","+","-","+","+","-","-","-","+","+","-","+","+","-"
"S3","I200","-","-","+","-","+","+","-","+","+","+","-","-","+","+","+","+","+","-","+","+","+","-","+","-","+","+","+","+","-"
"S4","I200","-","+","-","+","+","+","-","+","-","-","+","+","+","+","-","-","+","+","-","-","+","+","+","-","+","-","-","-","+"
"S5","I200","-","+","-","+","-","+","-","-","+","-","-","-","+","-","+","+","+","+","+","+","-","+","-","-","+","+","-","+","-"
"S6","I200","-","-","-","+","-","+","+","+","+","-","+","-","+","+","+","-","-","-","+","+","-","+","-","+","+","+","-","+","+"
"S7","I200","-","+","+","-","+","+","+","-","-","+","-","-","-","+","-","-","-","+","-","+","+","+","+","+","-","-","-","+","+"
"S8","I200","-","-","-","-","-","+","+","-","+","+","-","-","-","-","-","-","-","-","-","+","-","+","-","+","-","+","+","-","+"
"S9","I200","-","+","+","-","+","-","-","+","-","+","+","-","+","-","+","+","+","+","+","-","-","+","+","-","+","-","-","-","+"
"S10","I200","-","+","-","-","+","+","-","+","-","+","-","+","+","+","-","-","-","-","-","-","+","-","+","+","+","+","-","+","-"
"S11","I200","+","+","-","-","+","+","-","+","+","+","+","-","-","-","-","+","+","+","-","-","+","-","-","-","-","-","-","-","-"
"S1","I201","+","-","-","-","-","+","-","+","-","+","-","-","-","-","+","-","+","-","-","+","-","-","+","-","+","-","+","-","-"
"S2","I201","+","-","-","-","-","+","+","-","-","-","-","-","-","+","+","-","+","-","-","+","-","-","+","-","+","+","-","-","-"
"S3","I201","+","-","+","+","+","+","+","+","-","+","-","+","+","-","+","+","-","+","-","-","+","+","+","+","+","+","-","-","-"
"S4","I201","-","+","-","-","-","-","-","+","-","-","-","+","-","-","+","-","+","+","-","-","+","-","+","+","-","-","+","-","+"
"S5","I201","+","+","-","+","+","+","-","+","+","+","+","-","+","+","-","-","-","+","-","-","-","-","+","-","+","-","-","-","-"
"S6","I201","+","-","-","-","+","-","-","+","-","-","-","-","+","-","-","+","-","-","-","-","-","-","+","-","+","+","+","+","+"
"S7","I201","-","-","+","+","-","+","-","-","+","+","+","-","-","-","-","-","+","-","+","+","-","+","+","-","-","+","-","+","+"
"S8","I201","+","+","-","-","+","+","-","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","-","-","-","+","+","+","-"
"S9","I201","+","-","+","+","+","-","-","-","-","+","-","-","-","-","+","+","-","-","-","+","+","-","+","-","+","-","-","+","-"
"S10","I201","+","-","-","+","-","-","+","+","+","+","-","-","+","-","+","+","+","+","+","-","+","-","-","-","-","-","-","-","-"
"S11","I201","+","+","-","-","-","+","-","-","-","+","+","+","+","+","+","+","-","-","+","+","-","-","-","-","+","-","+","-","-"
"S1","I202","+","-","-","-","-","-","-","-","-","+","-","-","-","+","-","-","-","+","+","-","-","+","+","+","-","+","-","-","+"
"S2","I202","+","+","-","+","+","+","+","+","-","+","+","+","-","+","-","+","+","-","+","+","-","+","+","+","-","-","-","+","-"
"S3","I202","+","-","-","-","-","+","-","+","-","-","-","-","+","-","-","+","-","+","+","-","-","-","+","+","+","-","-","-","+"
"S4","I202","+","-","+","-","+","+","-","-","-","-","-","-","+","+","+","+","+","+","-","+","+","-","-","+","-","+","-","+","-"
"S5","I202","-","+","+","-","-","+","-","+","+","+","-","+","+","+","+","+","-","-","-","+","+","-","-","-","+","+","+","+","-"
"S6","I202","+","-","+","-","+","-","-","-","+","-","+","+","-","+","-","+","-","-","+","-","+","+","-","-","-","+","-","+","+"
"S7","I202","-","-","+","+","+","+","-","+","+","-","-","+","+","-","+","-","-","+","+","+","-","+","-","-","-","-","+","+","-"
"S8","I202","-","-","-","-","+","-","-","+","-","+","+","+","-","-","+","-","-","-","-","-","-","+","-","-","-","+","+","+","-"
"S9","I202","-","-","-","+","+","+","+","+","-","-","-","-","+","-","+","-","-","+","+","-","+","-","-","-","+","+","-","+","+"
"S10","I202","+","-","-","+","+","+","-","+","-","-","+","-","-","+","-","-","-","-","+","+","+","-","+","-","-","+","+","+","+"
"S11","I202","-","-","-","+","+","+","-","+","-","+","-","-","+","-","-","-","+","+","+","+","+","-","+","+","+","+","-","-","-"
"S1","I203","+","-","+","-","-","+","+","-","-","+","-","-","+","+","+","+","-","+","-","-","-","+","-","-","+","+","+","-","+"
"S2","I203","-","-","-","-","+","-","-","-","+","-","+","+","+","+","-","+","+","+","-","+","+","-","-","+","-","-","+","+","+"
"S3","I203","-","-","+","-","+","+","+","-","-","-","+","-","+","+","+","-","+","+","-","-","+","-","-","+","+","+","-","-","-"
"S4","I203","-","-","+","+","-","-","-","-","-","+","+","+","-","-","-","+","+","+","-","+","+","-","-","+","-","+","-","-","-"
"S5","I203","-","+","+","+","-","+","+","+","+","-","+","+","+","-","-","+","-","+","-","-","+","+","+","-","+","+","-","-","-"
"S6","I203","+","+","-","+","+","+","+","+","-","+","+","-","-","-","-","+","+","+","+","-","-","+","+","-","+","-","-","-","+"
"S7","I203","+","+","+","+","+","+","+","-","+","+","+","+","-","+","+","-","-","-","-","+","+","-","+","+","+","-","+","+","+"
"S8","I203","+","-","+","+","-","+","-","-","-","-","-","-","+","-","+","+","-","+","+","-","-","-","+","+","-","-","-","-","-"
"S9","I203","-","-","+","-","-","-","-","-","-","+","+","-","-","-","+","-","+","+","-","+","-","-","-","+","+","+","+","+","+"
"S10","I203","-","+","-","+","+","-","+","-","+","+","-","+","+","+","+","+","-","+","-","-","-","+","+","-","+","+","-","+","+"
"S11","I203","-","+","+","-","-","-","-","-","-","-","+","+","-","+","+","-","+","+","-","+","+","+","-","+","-","+","-","-","-"
"S1","I204","+","-","+","+","-","-","-","-","-","+","-","+","-","-","-","-","-","-","+","+","+","+","+","-","+","-","-","-","+"
"S2","I204","-","+","+","+","-","+","+","-","-","+","-","+","-","-","-","+","-","+","-","+","-","+","-","-","+","+","+","+","+"
"S3","I204","+","-","-","-","-","+","+","-","-","-","+","+","-","+","-","+","-","-","-","-","-","+","+","+","+","+","+","-","-"
"S4","I204","-","-","-","+","+","-","+","-","+","+","-","-","-","+","+","-","+","+","+","-","+","+","-","-","+","+","-","-","+"
"S5","I204","-","+","+","+","+","+","-","+","+","+","+","-","+","-","-","+","-","+","+","+","-","+","+","-","+","+","+","-","+"
"S6","I204","+","+","+","+","-","+","+","-","+","+","+","+","+","+","-","-","+","-","-","+","-","+","-","-","+","-","+","+","-"
"S7","I204","-","-","+","-","-","-","+","-","+","-","+","+","+","+","+","+","-","+","-","+","-","-","-","-","-","-","+","+","+"
"S8","I204","+","-","-","+","-","-","+","-","+","+","-","+","+","+","+","-","-","+","-","-","-","+","+","+","+","-","-","-","-"
"S9","I204","+","-","-","-","-","+","+","-","-","+","+","+","-","+","+","+","-","-","+","+","+","+","+","-","-","+","-","+","+"
"S10","I204","+","-","-","-","-","-","-","-","+","+","-","+","+","+","+","-","-","-","+","-","-","-","-","-","-","-","+","-","-"
"S11","I204","+","-","+","+","-","-","+","+","-","+","+","+","+","+","-","-","+","+","-","-","+","+","-","-","+","+","-","-","-"
"S1","I205","-","+","-","-","-","-","-","+","-","+","+","-","-","-","+","+","-","+","+","-","+","+","+","-","+","-","-","+","-"
"S2","I205","-","-","+","+","+","+","+","+","+","+","-","-","-","+","-","+","+","+","-","-","+","-","-","-","-","+","-","-","+"
"S3","I205","-","-","-","+","+","-","-","+","+","+","-","-","-","+","-","+","-","+","-","-","+","-","-","+","-","-","-","-","-"
"S4","I205","+","-","-","+","-","+","+","-","-","-","+","+","-","+","-","-","+","-","-","-","+","-","-","-","-","+","-","-","-"
"S5","I205","+","-","-","-","+","-","+","+","-","-","-","-","+","+","+","+","+","-","+","-","-","-","+","-","+","-","-","-","-"
"S6","I205","+","-","+","-","+","-","-","+","-","-","-","-","+","-","-","+","+","-","-","+","-","-","+","+","-","+","-","-","+"
"S7","I205","+","+","+","+","+","+","-","+","+","-","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","+","-"
"S8","I205","+","+","-","+","-","+","-","-","-","+","+","+","+","+","+","-","+","+","+","-","+","+","+","-","+","-","-","-","+"
"S9","I205","+","-","-","-","-","+","-","+","-","-","+","+","-","+","-","-","+","+","+","-","-","-","+","+","-","-","+","-","-"
"S10","I205","+","-","-","+","+","-","-","+","-","-","-","+","+","+","+","-","+","+","-","-","-","-","+","+","+","-","+","-","+"
"S11","I205","+","+","-","-","-","-","-","+","+","+","+","+","+","-","-","-","-","-","+","+","+","-","-","+","-","-","+","-","+"
"S1","I206","+","-","+","+","+","+","-","-","+","-","+","+","+","+","-","-","+","-","+","+","-","+","-","+","-","-","+","-","+"
"S2","I206","-","-","-","-","-","+","+","-","-","+","-","-","+","+","-","-","-","-","+","-","+","-","+","+","+","-","+","-","+"
"S3","I206","+","-","+","+","+","+","-","+","+","+","-","+","-","+","-","+","+","+","-","+","+","+","+","-","-","+","+","+","-"
"S4","I206","-","-","-","+","+","+","+","-","+","+","-","+","-","+","-","+","-","+","+","+","+","-","-","-","+","-","+","+","-"
"S5","I206","+","-","+","-","-","+","-","-","-","+","+","-","-","-","-","+","+","+","-","-","-","-","-","+","-","+","+","+","-"
"S6","I206","-","+","+","-","-","+","-","+","-","-","-","-","+","-","-","+","-","-","+","+","-","-","+","+","-","-","-","-","+"
"S7","I206","+","+","+","+","+","+","-","-","+","-","+","-","-","+","-","-","+","-","-","+","+","+","+","+","-","+","-","-","-"
"S8","I206","-","-","+","+","-","+","-","-","-","+","+","-","+","+","+","+","-","+","-","+","-","+","+","-","+","+","-","-","+"
"S9","I206","-","+","-","-","-","-","+","+","-","-","+","+","+","-","-","-","-","-","+","-","-","-","-","+","-","-","-","+","-"
"S10","I206","-","-","+","-","-","-","-","-","-","+","+","-","-","+","+","+","-","+","+","-","+","-","-","+","-","-","+","+","-"
"S11","I206","+","-","-","+","-","-","+","+","+","-","+","-","-","+","-","+","-","+","-","+","+","-","+","-","-","-","+","+","+"
"S1","I207","+","-","-","+","-","+","+","-","-","-","-","+","-","+","-","-","-","-","+","-","-","+","-","-","+","+","-","-","-"
"S2","I207","-","+","+","-","+","-","+","-","-","+","+","-","+","-","-","-","-","-","+","+","-","+","+","-","-","-","-","-","-"
"S3","I207","+","+","+","-","-","+","-","-","+","+","+","-","+","-","+","+","+","+","+","-","-","+","-","-","-","-","+","-","-"
"S4","I207","+","-","-","-","+","-","+","-","+","-","-","+","+","-","-","-","+","+","+","-","+","+","-","-","-","+","+","-","+"
"S5","I207","+","-","+","-","-","-","-","+","-","+","-","-","+","-","+","+","-","+","-","-","+","-","+","+","-","+","-","+","-"
"S6","I207","+","-","-","+","-","+","+","+","+","-","+","-","+","+","+","-","+","+","+","-","-","+","-","-","+","+","-","-","+"
"S7","I207","-","+","-","-","+","-","-","+","+","-","-","+","+","+","-","-","+","-","-","-","+","-","+","-","+","-","+","+","-"
"S8","I207","+","-","+","-","-","+","-","-","+","-","+","-","+","-","-","-","+","+","+","-","-","-","-","+","-","-","+","+","+"
"S9","I207","-","+","-","+","-","-","-","+","-","+","+","-","+","+","+","+","+","+","-","-","+","-","-","-","-","-","+","-","+"
"S10","I207","+","+","-","-","+","+","+","-","+","-","-","-","+","+","-","-","-","-","-","+","+","+","+","+","+","-","+","-","+"
"S11","I207","-","-","-","-","-","-","+","-","-","+","+","+","+","+","-","+","-","+","-","-","+","-","+","-","+","-","-","-","-"
"S1","I208","+","-","-","+","-","-","+","-","-","+","-","-","-","+","-","-","-","+","-","+","+","-","+","-","-","+","-","-","-"
"S2","I208","+","-","-","+","-","-","+","+","-","-","-","-","-","-","+","+","-","+","-","+","+","+","+","+","-","-","+","-","-"
"S3","I208","-","-","-","-","+","-","+","+","+","+","-","-","-","-","-","-","+","-","-","-","+","+","+","-","-","+","-","-","+"
"S4","I208","-","-","-","-","+","+","+","-","+","-","-","-","+","+","-","+","-","-","-","+","+","-","-","-","+","+","-","-","+"
"S5","I208","-","+","-","-","-","-","-","+","-","-","+","+","+","-","+","-","-","+","-","-","+","-","-","+","+","-","+","-","-"
"S6","I208","+","+","+","+","+","-","+","+","+","+","+","+","-","+","-","+","+","-","-","-","+","-","-","-","+","+","+","-","+"
"S7","I208","-","+","-","-","-","+","-","+","+","+","-","+","-","-","+","+","+","-","-","-","-","+","-","+","+","-","+","+","+"
"S8","I208","-","-","+","+","+","-","+","+","-","-","-","-","+","-","-","+","+","-","-","+","+","-","-","-","-","-","-","-","+"
"S9","I208","-","-","-","+","-","+","+","+","+","-","+","-","+","-","+","-","-","+","-","-","+","+","-","+","+","-","-","-","+"
"S10","I208","-","-","+","+","+","+","-","-","+","-","+","-","-","+","-","-","+","-","+","-","+","-","+","+","+","-","+","+","+"
"S11","I208","-","+","+","-","+","-","-","+","-","+","+","-","+","+","-","-","-","-","-","+","+","-","-","-","+","+","+","+","+"
"S1","I209","-","+","+","-","+","+","+","+","-","-","-","+","-","+","-","-","+","-","+","+","-","-","+","-","-","-","+","+","-"
"S2","I209","-","-","+","-","-","+","+","+","-","-","-","+","+","+","+","+","+","+","-","-","+","-","+","+","-","+","+","+","+"
"S3","I209","-","+","-","-","+","+","-","+","-","+","+","+","-","+","+","+","+","+","-","+","+","+","+","+","+","-","+","-","+"
"S4","I209","-","-","-","+","+","-","+","-","+","-","+","+","+","+","+","+","+","+","+","+","-","-","-","+","+","-","+","+","-"
"S5","I209","-","+","+","-","+","-","+","-","+","+","-","+","-","+","+","-","+","+","-","-","+","-","-","-","+","+","-","+","-"
"S6","I209","+","-","-","+","-","-","+","-","-","-","-","-","-","+","+","+","+","-","-","+","-","+","+","+","-","+","+","+","-"
"S7","I209","+","-","+","+","+","+","+","-","+","-","-","-","-","+","+","-","-","-","-","-","-","-","+","-","-","+","+","-","+"
"S8","I209","+","-","+","-","-","-","+","+","-","+","-","-","-","+","-","-","-","-","-","-","+","+","-","+","+","-","+","+","+"
"S9","I209","+","+","-","-","+","-","-","-","+","-","+","+","-","-","-","-","+","-","-","+","+","-","-","+","-","-","-","+","-"
"S10","I209","-","-","+","+","+","-","+","-","-","+","+","-","-","-","-","+","+","+","+","+","-","+","+","-","+","-","+","-","+"
"S11","I209","+","+","+","+","+","+","-","+","+","+","-","-","-","+","+","-","+","-","+","+","+","+","-","-","+","-","-","+","-"
"S1","I210","-","+","+","-","-","+","+","-","+","+","-","+","+","-","-","+","-","-","-","+","+","-","-","-","+","-","+","-","+"
"S2","I210","+","-","+","-","-","+","-","-","-","-","-","+","+","-","+","+","-","+","+","-","+","+","-","-","+","+","-","-","-"
"S3","I210","-","-","+","-","+","+","-","+","+","+","+","-","+","-","+","-","-","+","-","+","-","+","-","+","+","+","-","+","-"
"S4","I210","-","-","-","+","-","+","-","-","-","+","+","+","-","+","-","-","+","+","+","+","-","-","-","-","-","+","-","+","+"
"S5","I210","+","+","+","-","+","-","+","-","-","-","+","-","+","-","-","+","-","+","-","+","+","-","-","+","+","+","-","+","-"
"S6","I210","-","-","+","-","+","-","+","-","-","+","-","-","-","-","-","-","+","-","-","-","+","-","+","-","+","-","+","-","+"
"S7","I210","-","+","-","+","+","+","+","-","-","+","+","-","-","-","-","+","+","-","-","-","+","+","-","+","+","+","-","-","-"
"S8","I210","+","-","+","+","+","+","+","-","+","-","-","+","-","+","-","-","+","-","-","-","+","-","-","-","-","-","-","-","+"
"S9","I210","-","+","-","-","-","-","-","-","+","-","+","-","+","+","-","-","+","+","+","-","-","+","+","-","-","-","+","-","-"
"S10","I210","+","-","+","-","-","-","+","-","+","+","-","+","-","-","+","-","-","-","+","-","+","+","-","+","+","+","-","+","+"
"S11","I210","+","-","+","+","+","-","+","-","+","-","+","-","-","+","-","+","-","-","+","-","-","-","-","+","+","+","+","-","+"
"S1","I211","+","+","-","+","-","+","-","-","+","+","+","-","+","+","+","-","-","+","-","+","-","-","+","+","+","-","-","-","+"
"S2","I211","-","-","-","-","+","+","-","-","+","+","-","+","+","-","-","+","+","+","+","-","+","-","-","-","-","-","+","-","-"
"S3","I211","-","+","-","-","+","-","+","+","-","+","-","+","+","-","+","+","-","-","+","-","+","+","-","+","-","+","-","+","-"
"S4","I211","-","-","-","+","+","-","-","+","-","+","+","-","+","+","-","-","-","-","-","-","-","+","+","-","-","+","+","-","-"
"S5","I211","-","+","+","+","-","-","-","+","-","+","+","+","+","-","+","-","+","-","+","-","-","+","-","-","-","-","+","-","+"
"S6","I211","-","-","-","-","+","+","-","-","+","-","+","-","-","+","+","-","-","+","+","-","+","-","+","-","-","+","-","-","-"
"S7","I211","-","+","-","-","-","-","-","+","-","+","+","+","+","-","-","-","+","-","+","-","+","-","+","+","-","-","-","-","-"
"S8","I211","-","+","-","-","-","-","+","+","+","+","-","-","-","+","-","+","-","-","+","+","-","-","-","-","+","+","+","-","+"
"S9","I211","-","+","+","-","+","-","-","-","+","-","-","-","-","+","+","+","-","-","-","-","-","+","-","-","-","+","+","+","+"
"S10","I211","+","-","+","+","-","+","-","-","-","-","-","+","-","-","+","+","-","-","-","-","-","+","-","-","-","-","-","-","+"
"S11","I211","-","+","-","-","+","+","-","-","+","-","-","-","-","+","-","-","-","-","+","+","+","+","+","+","-","+","+","-","-"
"S1","I212","+","+","+","+","+","+","+","+","-","+","+","+","+","-","-","-","+","+","-","-","+","+","+","-","-","+","+","+","+"
"S2","I212","+","+","-","+","+","+","-","-","-","-","+","-","-","+","-","-","-","-","-","+","-","-","-","-","-","+","+","-","+"
"S3","I212","-","+","+","-","+","+","+","+","+","+","-","-","+","+","+","-","+","-","-","+","-","-","+","+","+","-","-","+","+"
"S4","I212","-","+","-","-","-","-","-","-","-","-","-","+","-","+","+","+","-","+","+","+","-","+","-","+","+","+","+","-","-"
"S5","I212","-","-","+","+","-","+","+","+","+","-","-","-","-","+","-","+","+","-","-","+","-","-","+","-","-","+","+","+","+"
"S6","I212","-","-","+","+","+","-","+","+","-","-","-","-","-","+","-","+","+","-","-","+","-","+","-","-","-","-","+","-","-"
"S7","I212","-","+","+","+","+","+","+","-","-","-","-","+","-","+","+","+","+","-","-","-","+","+","+","-","+","-","+","-","-"
"S8","I212","-","+","-","-","+","-","-","+","-","-","+","-","+","-","-","-","+","+","+","+","+","+","+","+","-","+","+","-","-"
"S9","I212","+","+","+","+","-","-","+","-","+","-","-","-","+","-","-","+","-","-","+","-","-","+","+","+","+","-","+","+","-"
"S10","I212","+","-","+","+","-","-","+","+","-","+","+","+","+","-","+","-","-","+","-","-","+","-","+","+","-","-","-","-","+"
"S11","I212","-","-","-","-","+","-","+","+","+","+","+","-","+","-","+","+","-","-","+","-","+","+","-","+","+","+","+","-","-"
"S1","I213","-","-","+","-","-","-","-","+","-","-","+","-","-","-","-","+","+","-","-","-","+","-","+","-","-","+","-","-","-"
"S2","I213","+","-","+","+","-","+","-","-","+","+","-","-","-","-","-","-","-","-","+","-","+","-","-","+","-","-","-","+","+"
"S3","I213","+","+","-","+","-","-","-","+","+","+","-","+","-","+","-","-","-","+","-","+","-","-","-","-","+","-","+","+","+"
"S4","I213","+","+","+","-","+","+","+","-","-","+","+","+","+","+","+","+","-","+","+","-","-","+","+","-","+","-","+","+","-"
"S5","I213","+","-","+","-","-","+","-","+","+","+","+","+","+","+","-","+","+","-","+","-","-","+","+","+","-","+","+","+","+"
"S6","I213","+","-","+","+","+","+","-","-","-","-","-","+","-","+","-","-","+","-","+","+","+","-","+","+","+","+","-","+","-"
"S7","I213","+","+","-","+","+","+","-","+","+","-","+","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","+","+"
"S8","I213","-","-","-","-","+","-","-","+","+","+","+","+","-","+","-","-","-","-","-","+","+","-","-","+","+","+","+","-","-"
"S9","I213","-","-","-","+","-","+","-","+","-","+","-","+","-","+","+","-","-","-","+","+","-","+","-","+","+","+","-","-","+"
"S10","I213","+","-","+","-","+","-","+","-","-","-","-","+","+","-","-","-","-","-","+","+","-","+","+","-","-","-","-","+","+"
"S11","I213","+","+","-","-","-","+","-","-","-","+","-","-","-","+","-","-","-","+","-","-","+","+","-","-","+","-","-","-","-"
"S1","I214","-","-","-","+","+","+","+","-","-","+","+","+","-","-","-","-","+","-","+","+","+","+","+","+","+","-","+","+","+"
"S2","I214","+","+","+","-","+","-","-","-","+","-","-","-","+","+","-","+","+","+","+","-","+","+","+","+","+","-","-","-","-"
"S3","I214","+","-","-","+","+","-","+","+","-","-","+","-","-","+","+","+","+","+","+","-","+","+","-","+","-","-","+","-","-"
"S4","I214","-","-","-","-","-","-","+","+","+","-","+","-","-","-","-","+","-","+","-","-","+","+","+","-","-","+","-","-","-"
"S5","I214","+","-","+","-","+","+","-","+","-","+","+","-","+","-","-","+","-","+","-","+","+","+","-","+","-","+","-","+","-"
"S6","I214","-","+","-","+","+","+","+","-","-","-","-","-","-","+","+","+","-","-","-","+","+","-","+","-","+","-","+","+","-"
"S7","I214","-","+","+","-","+","-","-","+","+","-","+","-","-","+","+","-","-","-","-","-","+","-","-","-","+","+","-","-","-"
"S8","I214","+","-","-","-","+","-","-","+","+","-","+","+","-","-","+","+","+","-","+","-","-","+","-","+","+","+","+","+","-"
"S9","I214","-","+","-","+","-","+","+","-","+","+","-","-","-","-","-","-","+","+","-","+","-","-","+","-","-","-","+","+","+"
"S10","I214","+","-","+","-","-","-","+","-","+","+","+","+","+","+","+","-","+","+","-","+","-","+","-","+","+","+","+","-","+"
"S11","I214","-","-","-","+","+","-","-","-","-","+","-","-","-","+","+","-","+","+","-","+","-","-","+","+","+","-","+","+","-"
"S1","I215","-","+","-","+","-","+","-","-","-","-","+","+","-","-","-","+","+","+","-","-","-","+","-","-","+","+","-","+","-"
"S2","I215","-","+","+","-","+","-","-","-","+","-","-","-","+","-","+","-","-","-","+","+","-","-","+","+","-","+","-","-","-"
"S3","I215","+","+","-","-","-","-","-","+","-","-","+","+","+","+","+","-","-","+","-","+","+","+","+","-","-","+","-","+","-"
"S4","I215","-","-","+","-","+","+","-","+","+","-","-","-","+","+","+","+","+","-","-","-","-","-","-","-","-","-","-","-","+"
"S5","I215","-","-","-","+","-","+","-","-","-","+","-","-","+","+","-","-","+","+","+","+","+","-","-","-","+","+","-","+","-"
"S6","I215","-","+","-","+","+","+","+","+","-","-","+","+","-","-","+","+","+","-","+","+","+","+","+","-","-","+","+","+","-"
"S7","I215","-","+","+","+","-","+","+","+","-","-","-","+","-","+","-","-","-","+","-","-","+","+","+","+","-","-","+","+","+"
"S8","I215","-","+","-","-","-","-","+","+","+","-","-","+","+","+","-","-","+","+","+","+","-","+","-","-","+","+","+","-","-"
"S9","I215","-","-","-","-","-","-","+","+","+","-","+","+","-","-","+","+","+","-","+","-","-","-","+","+","+","-","+","+","-"
"S10","I215","-","+","+","-","+","-","-","-","-","-","+","+","-","+","-","-","+","-","+","-","-","+","+","-","+","+","-","+","+"
"S11","I215","-","+","-","+","+","-","-","-","-","+","+","-","+","-","-","+","+","-","-","-","+","+","+","+","-","+","-","-","-"
"S1","I216","-","-","+","+","+","-","-","-","+","-","-","+","+","-","+","-","+","+","+","-","-","+","-","+","-","-","+","+","+"
"S2","I216","-","+","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","+","-","+","-","+","-","-","+","-","+"
"S3","I216","+","-","-","-","-","-","-","-","+","-","-","+","+","-","+","+","+","+","+","-","-","+","+","-","+","+","-","+","-"
"S4","I216","-","+","+","-","-","+","-","+","+","+","-","+","+","+","+","+","-","-","+","-","-","-","+","+","-","+","+","-","-"
"S5","I216","-","+","+","+","-","-","-","-","-","+","+","+","-","-","-","+","-","+","-","+","+","-","-","+","-","+","+","-","+"
"S6","I216","+","+","-","+","+","-","-","-","+","-","+","-","+","-","+","+","+","-","+","-","-","+","+","-","+","-","-","+","-"
"S7","I216","-","+","+","+","+","-","-","+","-","-","+","-","-","+","-","-","+","-","-","-","+","-","+","-","-","+","-","+","-"
"S8","I216","-","+","+","+","+","+","-","+","-","-","+","-","+","-","+","+","+","+","+","+","+","+","-","-","+","+","-","-","+"
"S9","I216","-","+","+","+","+","-","+","+","-","-","-","+","+","-","-","+","-","+","+","-","-","+","-","+","+","-","-","-","-"
"S10","I216","-","-","+","+","-","-","+","+","+","+","+","-","+","+","+","+","-","+","+","+","+","-","-","+","-","-","-","-","-"
"S11","I216","+","-","+","+","-","-","-","-","-","+","+","+","+","-","-","-","-","+","+","+","+","+","-","-","-","-","-","+","-"
"S1","I217","+","-","-","-","+","+","+","-","-","-","+","+","-","-","+","-","-","-","+","+","+","+","+","-","+","+","+","-","+"
"S2","I217","+","-","-","+","+","+","+","+","+","-","-","-","-","+","-","-","-","+","-","+","-","-","+","+","+","-","-","+","-"
"S3","I217","+","-","+","+","+","-","-","-","-","-","+","+","+","+","-","+","-","-","+","+","-","-","+","-","-","-","-","+","+"
"S4","I217","-","+","-","-","-","-","-","-","-","+","+","-","-","+","+","+","+","+","-","-","-","-","+","+","+","+","+","+","+"
"S5","I217","-","+","+","+","-","+","-","+","+","+","-","-","+","+","-","-","-","+","+","-","-","-","-","-","-","-","+","+","-"
"S6","I217","-","-","-","+","+","-","-","-","-","-","+","-","-","+","+","-","+","-","-","+","-","-","-","+","-","-","+","+","+"
"S7","I217","-","+","+","+","+","+","-","+","-","+","+","+","-","-","+","+","-","-","+","-","+","+","-","+","-","+","+","+","-"
"S8","I217","-","-","+","-","+","+","-","-","+","+","+","+","+","-","+","+","-","+","-","+","-","+","+","+","+","-","+","-","+"
"S9","I217","+","+","-","+","+","+","-","-","+","-","+","+","+","-","+","+","+","+","-","+","-","-","+","+","-","+","+","-","-"
"S10","I217","-","+","-","-","+","+","+","+","-","-","+","-","-","-","+","+","-","+","-","+","+","+","+","+","+","+","+","+","+"
"S11","I217","-","-","+","-","-","-","-","-","+","-","-","+","+","-","+","+","-","+","+","+","+","+","-","+","+","-","-","-","+"
"S12","I217","-","+","+","-","-","-","-","-","+","-","-","+","+","-","+","-","-","+","+","-","+","-","-","-","-","+","-","-","-"
"S1","I218","+","-","+","-","-","+","+","-","+","-","-","+","+","+","-","+","+","+","-","-","-","+","-","+","+","-","+","+","-"
"S2","I218","-","+","+","-","-","-","-","-","-","+","-","-","+","+","+","+","-","+","+","+","-","-","+","+","-","-","-","+","-"
"S3","I218","+","-","+","+","-","-","-","-","-","+","-","+","+","+","+","-","-","-","+","-","-","+","-","+","+","+","-","-","+"
"S4","I218","-","+","+","+","-","+","-","-","-","+","-","-","-","-","+","+","-","+","-","-","-","-","+","+","+","+","-","+","+"
"S5","I218","-","-","-","-","+","+","+","-","-","+","-","+","+","+","-","+","+","+","+","+","-","-","-","-","+","+","+","-","+"
"S6","I218","+","-","+","-","+","+","-","+","-","+","+","-","-","-","+","+","+","+","-","+","+","-","-","+","+","-","-","-","-"
"S7","I218","+","-","-","+","-","+","+","-","+","-","+","+","+","-","+","+","-","+","-","+","-","+","-","-","+","-","-","-","+"
"S8","I218","+","+","-","-","+","+","+","+","-","-","-","+","-","+","-","-","+","+","-","+","-","-","-","+","+","+","+","+","+"
"S9","I218","+","-","+","-","+","-","+","+","+","+","-","+","+","-","-","+","+","-","-","-","+","-","-","-","-","+","-","+","-"
"S10","I218","+","+","-","-","+","-","-","+","+","-","+","+","-","-","+","-","+","+","+","+","+","+","+","+","-","-","+","+","-"
"S11","I218","-","-","-","-","+","-","-","+","-","-","-","+","-","+","+","+","+","-","+","-","-","-","-","-","+","+","-","-","+"
"S12","I218","+","-","+","-","-","+","-","-","-","+","-","+","-","+","-","+","-","-","+","+","-","-","+","-","-","-","-","-","+"
